,1p.prs,1p.pst,3p.prs,3p.pst,count
4330,forgive,forgave,forgives,forgave,3379266
4331,forgo,forwent,forgoes,forwent,340426
4332,visa,visaed,visas,visaed,0
4333,fork,forked,forks,forked,0
4334,form,formed,forms,formed,201395192
4335,visit,visited,visits,visited,187062316
4336,formalize,formalized,formalizes,formalized,271036
4337,visualize,visualized,visualizes,visualized,1416743
4338,vitalize,vitalized,vitalizes,vitalized,30855
4339,formulate,formulated,formulates,formulated,1875065
4340,fornicate,fornicated,fornicates,fornicated,19867
4341,vitiate,vitiated,vitiates,vitiated,0
4342,forsake,forsook,forsakes,forsook,359114
4343,forswear,forswore,forswears,forswore,21344
4344,vitrify,vitrified,vitrifies,vitrified,0
4345,vituperate,vituperated,vituperates,vituperated,0
4346,fortify,fortified,fortifies,fortified,261545
4347,vivify,vivified,vivifies,vivified,0
4348,vivisect,vivisected,vivisects,vivisected,0
4349,vocalize,vocalized,vocalizes,vocalized,43339
4350,forward,forwarded,forwards,forwarded,58382492
4351,vociferate,vociferated,vociferates,vociferated,0
4352,voice,voiced,voices,voiced,0
4353,fossilize,fossilized,fossilizes,fossilized,0
4354,foster,fostered,fosters,fostered,15478056
4355,void,voided,voids,voided,32491126
4356,foul,fouled,fouls,fouled,5268620
4357,volley,volleyed,volleys,volleyed,550438
4358,found,founded,founds,founded,232005894
4359,founder,foundered,founders,foundered,0
4360,volunteer,volunteered,volunteers,volunteered,0
4361,vomit,vomited,vomits,vomited,767124
4362,vote,voted,votes,voted,58387028
4363,vouchsafe,vouchsafed,vouchsafes,vouchsafed,0
4364,vow,vowed,vows,vowed,1125355
4365,voyage,voyaged,voyages,voyaged,0
4366,fowl,fowled,fowls,fowled,0
4367,fox,foxed,foxes,foxed,23795336
4368,foxhunt,foxhunted,foxhunts,foxhunted,0
4369,vulcanize,vulcanized,vulcanizes,vulcanized,0
4370,foxtrot,foxtrotted,foxtrots,foxtrotted,345544
4371,vulgarize,vulgarized,vulgarizes,vulgarized,0
4372,fracture,fractured,fractures,fractured,2729151
4373,fragment,fragmented,fragments,fragmented,0
4374,wad,wadded,wads,wadded,568187
4375,waddle,waddled,waddles,waddled,172611
4376,frame,framed,frames,framed,0
4377,wade,waded,wades,waded,4791878
4378,waffle,waffled,waffles,waffled,0
4379,waft,wafted,wafts,wafted,0
4380,frank,franked,franks,franked,31392284
4381,wag,wagged,wags,wagged,639468
4382,wage,waged,wages,waged,0
4383,wager,wagered,wagers,wagered,0
4384,fraternize,fraternized,fraternizes,fraternized,12913
4385,waggle,waggled,waggles,waggled,0
4386,wail,wailed,wails,wailed,325861
4387,fray,frayed,frays,frayed,911045
4388,freak,freaked,freaks,freaked,0
4389,wait,waited,waits,waited,39001376
4390,freckle,freckled,freckles,freckled,77039
4391,free,freed,frees,freed,1014107316
4392,waive,waived,waives,waived,1789027
4393,wake,woke,wakes,woke,14120141
4394,waken,wakened,wakens,wakened,60268
4395,walk,walked,walks,walked,39129365
4396,freelance,freelanced,freelances,freelanced,0
4397,freeload,freeloaded,freeloads,freeloaded,0
4398,wall,walled,walls,walled,0
4399,wallop,walloped,wallops,walloped,197728
4400,wallow,wallowed,wallows,wallowed,180353
4401,wallpaper,wallpapered,wallpapers,wallpapered,0
4402,waltz,waltzed,waltzes,waltzed,0
4403,freewheel,freewheeled,freewheels,freewheeled,0
4404,wander,wandered,wanders,wandered,1996154
4405,freeze,froze,freezes,froze,5526731
4406,freeze-dry,freeze-dried,freeze-dries,freeze-dried,0
4407,wane,waned,wanes,waned,0
4408,wangle,wangled,wangles,wangled,14473
4409,wank,wanked,wanks,wanked,748736
4410,freight,freighted,freights,freighted,0
4411,want,wanted,wants,wanted,258690345
4412,wanton,wantoned,wantons,wantoned,506943
4413,war,warred,wars,warred,0
4414,warble,warbled,warbles,warbled,68260
4415,French-polish,French-polished,French-polishes,French-polished,0
4416,frequent,frequented,frequents,frequented,10400111
4417,fresco,frescoed,frescos,frescoed,742977
4418,freshen,freshened,freshens,freshened,190253
4419,fret,fretted,frets,fretted,948234
4420,warm,warmed,warms,warmed,22645772
4421,fricassee,fricasseed,fricassees,fricasseed,28828
4422,warn,warned,warns,warned,4160789
4423,warp,warped,warps,warped,2399276
4424,warrant,warranted,warrants,warranted,0
4425,fright,frighted,frights,frighted,817153
4426,frighten,frightened,frightens,frightened,427981
4427,wash,washed,washes,washed,12612759
4428,fringe,fringed,fringes,fringed,0
4429,frisk,frisked,frisks,frisked,0
4430,frivol,frivolled,frivols,frivolled,63165
4431,frizz,frizzed,frizzes,frizzed,128481
4432,frizzle,frizzled,frizzles,frizzled,0
4433,waste,wasted,wastes,wasted,0
4434,frogmarch,frogmarched,frogmarches,frogmarched,0
4435,frolic,frolicked,frolics,frolicked,289348
4436,front,fronted,fronts,fronted,0
4437,watch,watched,watches,watched,92006970
4438,frost,frosted,frosts,frosted,0
4439,water,watered,waters,watered,0
4440,froth,frothed,froths,frothed,278469
4441,frown,frowned,frowns,frowned,742356
4442,frowst,frowsted,frowsts,frowsted,0
4443,fructify,fructified,fructifies,fructified,0
4444,fruit,fruited,fruits,fruited,0
4445,frustrate,frustrated,frustrates,frustrated,344483
4446,fry,fried,fries,fried,4482394
4447,waterproof,waterproofed,waterproofs,waterproofed,5628399
4448,fuck,fucked,fucks,fucked,0
4449,fuddle,fuddled,fuddles,fuddled,0
4450,fudge,fudged,fudges,fudged,1969555
4451,fuel,fuelled,fuels,fuelled,0
4452,wave,waved,waves,waved,0
4453,waver,wavered,wavers,wavered,217064
4454,fulfil,fulfilled,fulfils,fulfilled,1767616
4455,full,fulled,fulls,fulled,0
4456,wax,waxed,waxes,waxed,6472822
4457,waylay,waylaid,waylays,waylaid,0
4458,weaken,weakened,weakens,weakened,1062357
4459,wean,weaned,weans,weaned,255995
4460,fulminate,fulminated,fulminates,fulminated,19567
4461,wear,wore,wears,wore,29846762
4462,fumble,fumbled,fumbles,fumbled,758520
4463,fume,fumed,fumes,fumed,650207
4464,fumigate,fumigated,fumigates,fumigated,19593
4465,function,functioned,functions,functioned,0
4466,weary,wearied,wearies,wearied,1632945
4467,weather,weathered,weathers,weathered,0
4468,fund,funded,funds,funded,0
4469,weatherproof,weatherproofed,weatherproofs,weatherproofed,552016
4470,weave,wove,weaves,wove,1965230
4471,weave,weaved,weaves,weaved,1965230
4472,web,webbed,webs,webbed,0
4473,funk,funked,funks,funked,6697219
4474,funnel,funnelled,funnels,funnelled,0
4475,wed,wedded,weds,wedded,0
4476,fur,furred,furs,furred,0
4477,wedge,wedged,wedges,wedged,0
4478,furbish,furbished,furbishes,furbished,20684
4479,furl,furled,furls,furled,772402
4480,wee,weed,wees,weed,3235414
4481,furnish,furnished,furnishes,furnished,2577787
4482,weed,weeded,weeds,weeded,0
4483,furrow,furrowed,furrows,furrowed,369863
4484,further,furthered,furthers,furthered,0
4485,weekend,weekended,weekends,weekended,0
4486,weep,wept,weeps,wept,1038608
4487,wee-wee,wee-weed,wee-wees,wee-weed,0
4488,fuse,fused,fuses,fused,0
4489,weigh,weighed,weighs,weighed,3587993
4490,weight,weighted,weights,weighted,0
4491,fuss,fussed,fusses,fussed,1475395
4492,welcome,welcomed,welcomes,welcomed,114025350
4493,weld,welded,welds,welded,1883322
4494,well,welled,wells,welled,0
4495,gabble,gabbled,gabbles,gabbled,17739
4496,gaff,gaffed,gaffs,gaffed,185486
4497,gag,gagged,gags,gagged,0
4498,gage,gaged,gages,gaged,0
4499,gain,gained,gains,gained,31980198
4500,gainsay,gainsaid,gainsays,gainsaid,27471
4501,gall,galled,galls,galled,1441714
4502,welsh,welshed,welshes,welshed,0
4503,gallivant,gallivanted,gallivants,gallivanted,0
4504,welter,weltered,welters,weltered,0
4505,gallop,galloped,gallops,galloped,451480
4506,wench,wenched,wenches,wenched,0
4507,galumph,galumphed,galumphs,galumphed,0
4508,galvanize,galvanized,galvanizes,galvanized,117449
4509,gamble,gambled,gambles,gambled,0
4510,gambol,gambolled,gambols,gambolled,0
4511,westernize,westernized,westernizes,westernized,0
4512,game,gamed,games,gamed,0
4513,wet,wetted,wets,wetted,23918294
4514,whack,whacked,whacks,whacked,725891
4515,whale,whaled,whales,whaled,5928569
4516,gangrene,gangrened,gangrenes,gangrened,0
4517,whang,whanged,whangs,whanged,51697
4518,gape,gaped,gapes,gaped,163934
4519,garage,garaged,garages,garaged,0
4520,garb,garbed,garbs,garbed,0
4521,garble,garbled,garbles,garbled,29903
4522,garden,gardened,gardens,gardened,0
4523,gargle,gargled,gargles,gargled,84085
4524,wheedle,wheedled,wheedles,wheedled,0
4525,wheel,wheeled,wheels,wheeled,0
4526,garland,garlanded,garlands,garlanded,3180361
4527,garner,garnered,garners,garnered,0
4528,garnish,garnished,garnishes,garnished,735054
4529,wheeze,wheezed,wheezes,wheezed,0
4530,garrison,garrisoned,garrisons,garrisoned,0
4531,garrotte,garrotted,garrottes,garrotted,0
4532,whelp,whelped,whelps,whelped,0
4533,gas,gassed,gasses,gassed,0
4534,gash,gashed,gashes,gashed,0
4535,gasify,gasified,gasifies,gasified,0
4536,gasp,gasped,gasps,gasped,0
4537,gate,gated,gates,gated,0
4538,gatecrash,gatecrashed,gatecrashes,gatecrashed,0
4539,gather,gathered,gathers,gathered,7692892
4540,whet,whetted,whets,whetted,0
4541,gauge,gauged,gauges,gauged,0
4542,whiff,whiffed,whiffs,whiffed,0
4543,gawk,gawked,gawks,gawked,386426
4544,whimper,whimpered,whimpers,whimpered,0
4545,gawp,gawped,gawps,gawped,0
4546,gaze,gazed,gazes,gazed,2119763
4547,whine,whined,whines,whined,832743
4548,whinny,whinnied,whinnies,whinnied,21343
4549,gazette,gazetted,gazettes,gazetted,6349968
4550,whip,whipped,whips,whipped,0
4551,gazump,gazumped,gazumps,gazumped,0
4552,gear,geared,gears,geared,44569745
4553,whirl,whirled,whirls,whirled,622629
4554,whirr,whirred,whirrs,whirred,0
4555,gel,gelled,gels,gelled,10294568
4556,whisk,whisked,whisks,whisked,0
4557,geld,gelded,gelds,gelded,814215
4558,whisper,whispered,whispers,whispered,0
4559,whistle,whistled,whistles,whistled,2599728
4560,generalize,generalized,generalizes,generalized,561707
4561,generate,generated,generates,generated,18137492
4562,whiten,whitened,whitens,whitened,0
4563,whitewash,whitewashed,whitewashes,whitewashed,225617
4564,whittle,whittled,whittles,whittled,466046
4565,whiz,whizzed,whizzes,whizzed,571987
4566,genuflect,genuflected,genuflects,genuflected,0
4567,whoop,whooped,whoops,whooped,0
4568,whop,whopped,whops,whopped,0
4569,germinate,germinated,germinates,germinated,198370
4570,gerrymander,gerrymandered,gerrymanders,gerrymandered,32625
4571,gesticulate,gesticulated,gesticulates,gesticulated,0
4572,gesture,gestured,gestures,gestured,2211952
4573,get,got,gets,got,0
4574,widen,widened,widens,widened,1178278
4575,wield,wielded,wields,wielded,419233
4576,wig,wigged,wigs,wigged,2151939
4577,wiggle,wiggled,wiggles,wiggled,646578
4578,ghost,ghosted,ghosts,ghosted,0
4579,will,willed,wills,willed,0
4580,will,would,will,would,0
4581,gibber,gibbered,gibbers,gibbered,0
4582,gibbet,gibbeted,gibbets,gibbeted,0
4583,gibe,gibed,gibes,gibed,27622
4584,wilt,wilted,wilts,wilted,1267600
4585,win,won,wins,won,65264239
4586,gift,gifted,gifts,gifted,0
4587,wince,winced,winces,winced,717079
4588,winch,winched,winches,winched,0
4589,giggle,giggled,giggles,giggled,732371
4590,wind,wound,winds,wound,0
4591,wind,winded,winds,winded,0
4592,wind,winded,winds,winded,0
4593,gild,gilded,gilds,gilded,102508
4594,gin,ginned,gins,ginned,0
4595,window-shop,window-shopped,window-shops,window-shopped,0
4596,gird,girded,girds,girded,94882
4597,girdle,girdled,girdles,girdled,0
4598,wing,winged,wings,winged,0
4599,give,gave,gives,gave,0
4600,wink,winked,winks,winked,0
4601,winnow,winnowed,winnows,winnowed,59401
4602,gladden,gladdened,gladdens,gladdened,159866
4603,winter,wintered,winters,wintered,0
4604,wipe,wiped,wipes,wiped,2841184
4605,glamorize,glamorized,glamorizes,glamorized,19687
4606,glance,glanced,glances,glanced,0
4607,wire,wired,wires,wired,0
4608,glare,glared,glares,glared,0
4609,wiretap,wiretapped,wiretaps,wiretapped,0
4610,wisecrack,wisecracked,wisecracks,wisecracked,23832
4611,glaze,glazed,glazes,glazed,1431525
4612,wish,wished,wishes,wished,74043644
4613,gleam,gleamed,gleams,gleamed,356949
4614,glean,gleaned,gleans,gleaned,232952
4615,glide,glided,glides,glided,0
4616,glimmer,glimmered,glimmers,glimmered,658110
4617,glimpse,glimpsed,glimpses,glimpsed,0
4618,glint,glinted,glints,glinted,0
4619,withdraw,withdrew,withdraws,withdrew,4652948
4620,glissade,glissaded,glissades,glissaded,0
4621,glisten,glistened,glistens,glistened,96348
4622,wither,withered,withers,withered,335215
4623,glister,glistered,glisters,glistered,0
4624,glitter,glittered,glitters,glittered,0
4625,withhold,withheld,withholds,withheld,1201289
4626,gloat,gloated,gloats,gloated,0
4627,withstand,withstood,withstands,withstood,1730101
4628,globe-trot,globe-trotted,globe-trots,globe-trotted,0
4629,witness,witnessed,witnesses,witnessed,0
4630,glorify,glorified,glorifies,glorified,445339
4631,wizen,wizened,wizens,wizened,0
4632,gloss,glossed,glosses,glossed,3426618
4633,wobble,wobbled,wobbles,wobbled,428530
4634,wolf,wolfed,wolfs,wolfed,0
4635,glow,glowed,glows,glowed,5329899
4636,glower,glowered,glowers,glowered,0
4637,womanize,womanized,womanizes,womanized,0
4638,glue,glued,glues,glued,0
4639,glut,glutted,gluts,glutted,577556
4640,wonder,wondered,wonders,wondered,22806353
4641,gnash,gnashed,gnashes,gnashed,60339
4642,gnaw,gnawed,gnaws,gnawed,94482
4643,woo,wooed,woos,wooed,2718146
4644,go,went,goes,went,0
4645,goad,goaded,goads,goaded,0
4646,woolgather,woolgathered,woolgathers,woolgathered,0
4647,gobble,gobbled,gobbles,gobbled,0
4648,word,worded,words,worded,0
4649,work,worked,works,worked,0
4650,goggle,goggled,goggles,goggled,837713
4651,golf,golfed,golfs,golfed,0
4652,worm,wormed,worms,wormed,0
4653,gong,gonged,gongs,gonged,2128445
4654,worry,worried,worries,worried,13243591
4655,worsen,worsened,worsens,worsened,605022
4656,worship,worshipped,worships,worshipped,13502651
4657,worst,worsted,worsts,worsted,16975343
4658,wound,wounded,wounds,wounded,5820050
4659,wrangle,wrangled,wrangles,wrangled,113559
4660,wrap,wrapped,wraps,wrapped,11871928
4661,goof,goofed,goofs,goofed,0
4662,wreak,wreaked,wreaks,wreaked,0
4663,wreathe,wreathed,wreathes,wreathed,0
4664,goose,goosed,gooses,goosed,3739382
4665,wreck,wrecked,wrecks,wrecked,0
4666,wrench,wrenched,wrenches,wrenched,0
4667,wrest,wrested,wrests,wrested,185267
4668,wrestle,wrestled,wrestles,wrestled,718785
4669,gore,gored,gores,gored,6361800
4670,gorge,gorged,gorges,gorged,0
4671,wriggle,wriggled,wriggles,wriggled,0
4672,wring,wrung,wrings,wrung,188579
4673,wrinkle,wrinkled,wrinkles,wrinkled,0
4674,gormandize,gormandized,gormandizes,gormandized,0
4675,write,wrote,writes,wrote,126645151
4676,gossip,gossipped,gossips,gossipped,0
4677,writhe,writhed,writhes,writhed,72941
4678,wrong,wronged,wrongs,wronged,49156828
4679,gouge,gouged,gouges,gouged,0
4680,govern,governed,governs,governed,3331779
4681,gown,gowned,gowns,gowned,2882930
4682,xerox,xeroxed,xeroxes,xeroxed,6022102
4683,grab,grabbed,grabs,grabbed,7610506
4684,x-ray,x-rayed,x-rays,x-rayed,0
4685,grace,graced,graces,graced,0
4686,yacht,yachted,yachts,yachted,0
4687,yak,yakked,yaks,yakked,0
4688,grade,graded,grades,graded,0
4689,yammer,yammered,yammers,yammered,0
4690,yank,yanked,yanks,yanked,0
4691,graduate,graduated,graduates,graduated,0
4692,yap,yapped,yaps,yapped,665660
4693,graft,grafted,grafts,grafted,0
4694,yarn,yarned,yarns,yarned,5113505
4695,yaw,yawed,yaws,yawed,371549
4696,yawn,yawned,yawns,yawned,0
4697,yearn,yearned,yearns,yearned,300957
4698,yell,yelled,yells,yelled,1654034
4699,yellow,yellowed,yellows,yellowed,82024459
4700,yelp,yelped,yelps,yelped,443822
4701,yen,yenned,yens,yenned,0
4702,grant,granted,grants,granted,0
4703,granulate,granulated,granulates,granulated,33059
4704,graph,graphed,graphs,graphed,0
4705,yield,yielded,yields,yielded,0
4706,grapple,grappled,grapples,grappled,522941
4707,yodel,yodelled,yodels,yodelled,74408
4708,grasp,grasped,grasps,grasped,3270025
4709,grass,grassed,grasses,grassed,0
4710,yoke,yoked,yokes,yoked,1068387
4711,grate,grated,grates,grated,0
4712,gratify,gratified,gratifies,gratified,126415
4713,gravel,gravelled,gravels,gravelled,0
4714,yowl,yowled,yowls,yowled,0
4715,graze,grazed,grazes,grazed,364990
4716,grease,greased,greases,greased,0
4717,zap,zapped,zaps,zapped,1073302
4718,zigzag,zigzagged,zigzags,zigzagged,0
4719,zip,zipped,zips,zipped,70551270
4720,greet,greeted,greets,greeted,1784219
4721,zone,zoned,zones,zoned,0
4722,zoom,zoomed,zooms,zoomed,31373629
4723,grey,greyed,greys,greyed,18276942
4724,grieve,grieved,grieves,grieved,749133
4725,grill,grilled,grills,grilled,0
4726,grimace,grimaced,grimaces,grimaced,143905
4727,grime,grimed,grimes,grimed,514156
4728,grin,grinned,grins,grinned,2072855
4729,grind,ground,grinds,ground,0
4730,grip,gripped,grips,gripped,0
4731,gripe,griped,gripes,griped,0
4732,grizzle,grizzled,grizzles,grizzled,0
4733,groan,groaned,groans,groaned,473578
4734,groin,groined,groins,groined,0
4735,groom,groomed,grooms,groomed,0
4736,groove,grooved,grooves,grooved,0
4737,grope,groped,gropes,groped,0
4738,gross,grossed,grosses,grossed,16440590
4739,grouch,grouched,grouches,grouched,127917
4740,ground,grounded,grounds,grounded,0
4741,group,grouped,groups,grouped,0
4742,grouse,groused,grouses,groused,805156
4743,grovel,grovelled,grovels,grovelled,0
4744,grow,grew,grows,grew,26701492
4745,growl,growled,growls,growled,0
4746,grub,grubbed,grubs,grubbed,0
4747,grudge,grudged,grudges,grudged,713383
4748,grumble,grumbled,grumbles,grumbled,0
4749,grunt,grunted,grunts,grunted,616546
4750,guarantee,guaranteed,guarantees,guaranteed,39603838
4751,guard,guarded,guards,guarded,21137924
4752,guess,guessed,guesses,guessed,28743465
4753,guest,guested,guests,guested,0
4754,guffaw,guffawed,guffaws,guffawed,0
4755,guide,guided,guides,guided,213378807
4756,guillotine,guillotined,guillotines,guillotined,0
4757,gull,gulled,gulls,gulled,0
4758,gulp,gulped,gulps,gulped,0
4759,gum,gummed,gums,gummed,0
4760,gurgle,gurgled,gurgles,gurgled,63536
4761,gush,gushed,gushes,gushed,494498
4762,gut,gutted,guts,gutted,0
4763,gutter,guttered,gutters,guttered,0
4764,guy,guyed,guys,guyed,0
4765,guzzle,guzzled,guzzles,guzzled,38003
4766,gybe,gybed,gybes,gybed,17124
4767,gyp,gypped,gyps,gypped,79066
4768,gyrate,gyrated,gyrates,gyrated,24690
4769,habilitate,habilitated,habilitates,habilitated,0
4770,habit,habited,habits,habited,4880657
4771,habituate,habituated,habituates,habituated,19155
4772,hack,hacked,hacks,hacked,6533909
4773,haggle,haggled,haggles,haggled,243239
4774,hail,hailed,hails,hailed,0
4775,hail,hailed,hails,hailed,0
4776,hallmark,hallmarked,hallmarks,hallmarked,0
4777,halloo,hallooed,halloos,hallooed,30970
4778,hallow,hallowed,hallows,hallowed,140253
4779,hallucinate,hallucinated,hallucinates,hallucinated,34026
4780,halt,halted,halts,halted,2950571
4781,halve,halved,halves,halved,0
4782,ham,hammed,hams,hammed,0
4783,hammer,hammered,hammers,hammered,0
4784,hamper,hampered,hampers,hampered,1203919
4785,hamstring,hamstrung,hamstrings,hamstrung,0
4786,hand,handed,hands,handed,121296661
4787,handcuff,handcuffed,handcuffs,handcuffed,137624
4788,handicap,handicapped,handicaps,handicapped,3345415
4789,handle,handled,handles,handled,32318665
4790,handpick,handpicked,handpicks,handpicked,0
4791,hang,hung,hangs,hung,11077672
4792,hang,hanged,hangs,hanged,11077672
4793,happen,happened,happens,happened,27207887
4794,harangue,harangued,harangues,harangued,0
4795,harass,harassed,harasses,harassed,0
4796,harbour,harboured,harbours,harboured,7744494
4797,harden,hardened,hardens,hardened,915461
4798,hare,hared,hares,hared,1976109
4799,hark,harked,harks,harked,393694
4800,harm,harmed,harms,harmed,0
4801,harmonize,harmonized,harmonizes,harmonized,387994
4802,harness,harnessed,harnesses,harnessed,0
4803,harpoon,harpooned,harpoons,harpooned,0
4804,harrow,harrowed,harrows,harrowed,1392535
4805,harry,harried,harries,harried,33867934
4806,harvest,harvested,harvests,harvested,0
4807,hash,hashed,hashes,hashed,0
4808,hassle,hassled,hassles,hassled,3665939
4809,hasten,hastened,hastens,hastened,529792
4810,hatch,hatched,hatches,hatched,3896261
4811,hate,hated,hates,hated,21274675
4812,haul,hauled,hauls,hauled,0
4813,haunt,haunted,haunts,haunted,985188
4814,have,had,has,had,0
4815,haver,havered,havers,havered,90916
4816,haw,hawed,haws,hawed,0
4817,hawk,hawked,hawks,hawked,6529086
4818,hazard,hazarded,hazards,hazarded,0
4819,haze,hazed,hazes,hazed,0
4820,haze,hazed,hazes,hazed,0
4821,head,headed,heads,headed,0
4822,headline,headlined,headlines,headlined,0
4823,heal,healed,heals,healed,3769650
4824,heap,heaped,heaps,heaped,0
4825,hear,heard,hears,heard,47426506
4826,hearken,hearkened,hearkens,hearkened,185784
4827,hearten,heartened,heartens,heartened,0
4828,heat,heated,heats,heated,0
4829,heave,heaved,heaves,heaved,296454
4830,heave,hove,heaves,hove,296454
4831,heckle,heckled,heckles,heckled,0
4832,hector,hectored,hectors,hectored,0
4833,hedge,hedged,hedges,hedged,0
4834,hedgehop,hedgehopped,hedgehops,hedgehopped,0
4835,heed,heeded,heeds,heeded,1194819
4836,heel,heeled,heels,heeled,5468921
4837,heighten,heightened,heightens,heightened,372857
4838,heliograph,heliographed,heliographs,heliographed,0
4839,help,helped,helps,helped,611054034
4840,hem,hemmed,hems,hemmed,2064628
4841,hem,hemmed,hems,hemmed,2064628
4842,hemstitch,hemstitched,hemstitches,hemstitched,22241
4843,herald,heralded,heralds,heralded,12020777
4844,herd,herded,herds,herded,0
4845,hesitate,hesitated,hesitates,hesitated,3438637
4846,hew,hewed,hews,hewed,347543
4847,hex,hexed,hexes,hexed,4217438
4848,hibernate,hibernated,hibernates,hibernated,959696
4849,hiccup,hiccupped,hiccups,hiccupped,0
4850,hide,hid,hides,hid,27157035
4851,hie,hied,hies,hied,365793
4852,highlight,highlighted,highlights,highlighted,10317486
4853,high-pressure,high-pressured,high-pressures,high-pressured,0
4854,hijack,hijacked,hijacks,hijacked,866886
4855,hike,hiked,hikes,hiked,0
4856,hinder,hindered,hinders,hindered,0
4857,hinge,hinged,hinges,hinged,1758893
4858,hint,hinted,hints,hinted,0
4859,hire,hired,hires,hired,36743717
4860,hiss,hissed,hisses,hissed,493054
4861,hit,hit,hits,hit,53171478
4862,hitch,hitched,hitches,hitched,2730000
4863,hitchhike,hitchhiked,hitchhikes,hitchhiked,46526
4864,hive,hived,hives,hived,975507
4865,hoard,hoarded,hoards,hoarded,433375
4866,hoax,hoaxed,hoaxes,hoaxed,1304864
4867,hobble,hobbled,hobbles,hobbled,100403
4868,hobnob,hobnobbed,hobnobs,hobnobbed,27614
4869,hock,hocked,hocks,hocked,0
4870,hoe,hoed,hoes,hoed,0
4871,hog,hogged,hogs,hogged,2268262
4872,hoist,hoisted,hoists,hoisted,905107
4873,hold,held,holds,held,63777575
4874,hole,holed,holes,holed,0
4875,holiday,holidayed,holidays,holidayed,0
4876,holler,hollered,hollers,hollered,370166
4877,holystone,holystoned,holystones,holystoned,0
4878,home,homed,homes,homed,0
4879,homogenize,homogenized,homogenizes,homogenized,31315
4880,hone,honed,hones,honed,0
4881,honeycomb,honeycombed,honeycombs,honeycombed,522145
4882,honeymoon,honeymooned,honeymoons,honeymooned,0
4883,honk,honked,honks,honked,298573
4884,honour,honoured,honours,honoured,4879119
4885,hood,hooded,hoods,hooded,0
4886,hoodoo,hoodooed,hoodoos,hoodooed,159767
4887,hoodwink,hoodwinked,hoodwinks,hoodwinked,0
4888,hook,hooked,hooks,hooked,0
4889,hoop,hooped,hoops,hooped,0
4890,hoot,hooted,hoots,hooted,0
4891,hoover,hoovered,hoovers,hoovered,4189070
4892,hop,hopped,hops,hopped,22924925
4893,hope,hoped,hopes,hoped,0
4894,horrify,horrified,horrifies,horrified,29561
4895,horsewhip,horsewhipped,horsewhips,horsewhipped,0
4896,hose,hosed,hoses,hosed,6909109
4897,hospitalize,hospitalized,hospitalizes,hospitalized,17215
4898,host,hosted,hosts,hosted,0
4899,hound,hounded,hounds,hounded,0
4900,house,housed,houses,housed,0
4901,hover,hovered,hovers,hovered,1553261
4902,howl,howled,howls,howled,0
4903,huddle,huddled,huddles,huddled,339922
4904,huff,huffed,huffs,huffed,1013100
4905,hug,hugged,hugs,hugged,2943073
4906,hull,hulled,hulls,hulled,0
4907,hum,hummed,hums,hummed,3070763
4908,humanize,humanized,humanizes,humanized,63525
4909,humble,humbled,humbles,humbled,3693501
4910,humbug,humbugged,humbugs,humbugged,323395
4911,humidify,humidified,humidifies,humidified,13607
4912,humiliate,humiliated,humiliates,humiliated,222917
4913,humour,humoured,humours,humoured,0
4914,hump,humped,humps,humped,0
4915,hunch,hunched,hunches,hunched,327195
4916,hunger,hungered,hungers,hungered,0
4917,hunt,hunted,hunts,hunted,0
4918,hurdle,hurdled,hurdles,hurdled,0
4919,hurl,hurled,hurls,hurled,334231
4920,hurrah,hurrahed,hurrahs,hurrahed,479525
4921,hurry,hurried,hurries,hurried,3536968
4922,hurt,hurt,hurts,hurt,12936269
4923,hurtle,hurtled,hurtles,hurtled,46483
4924,husband,husbanded,husbands,husbanded,0
4925,hush,hushed,hushes,hushed,0
4926,husk,husked,husks,husked,299495
4927,hustle,hustled,hustles,hustled,1754467
4928,hut,hutted,huts,hutted,0
4929,hybridize,hybridized,hybridizes,hybridized,57198
4930,hydrate,hydrated,hydrates,hydrated,461614
4931,hymn,hymned,hymns,hymned,1685394
4932,hyphen,hyphened,hyphens,hyphened,486821
4933,hyphenate,hyphenated,hyphenates,hyphenated,58810
4934,hypnotize,hypnotized,hypnotizes,hypnotized,570472
4935,hypothecate,hypothecated,hypothecates,hypothecated,13316
4936,ice,iced,ices,iced,0
4937,ice-skate,ice-skated,ice-skates,ice-skated,0
4938,idealize,idealized,idealizes,idealized,32840
4939,identify,identified,identifies,identified,35854119
4940,idle,idled,idles,idled,5921579
4941,idolize,idolized,idolizes,idolized,69905
4942,ignite,ignited,ignites,ignited,938902
4943,ignore,ignored,ignores,ignored,14353555
4944,ill-treat,ill-treated,ill-treats,ill-treated,0
4945,illume,illumed,illumes,illumed,0
4946,illuminate,illuminated,illuminates,illuminated,881857
4947,illumine,illumined,illumines,illumined,0
4948,ill-use,ill-used,ill-uses,ill-used,0
4949,illustrate,illustrated,illustrates,illustrated,4841953
4950,image,imaged,images,imaged,0
4951,imagine,imagined,imagines,imagined,17364670
4952,imbibe,imbibed,imbibes,imbibed,65189
4953,imitate,imitated,imitates,imitated,708662
4954,immerse,immersed,immerses,immersed,475638
4955,immigrate,immigrated,immigrates,immigrated,150848
4956,immobilize,immobilized,immobilizes,immobilized,77577
4957,immolate,immolated,immolates,immolated,0
4958,immortalize,immortalized,immortalizes,immortalized,37984
4959,immunize,immunized,immunizes,immunized,108299
4960,immure,immured,immures,immured,0
4961,impact,impacted,impacts,impacted,0
4962,impair,impaired,impairs,impaired,0
4963,impale,impaled,impales,impaled,54820
